ID,大カテゴリ,サブカテゴリ,元の表現,言い換え,観察対象,解釈の方向性,背景にある暗黙知,学生への問い,関連する病態・データ,関わり方の視点,事例タグ
TK-01,身体・病態から痛みを察知する,身体サインの把握,体が発するサインをキャッチする,表情、呼吸、動作、筋緊張、発汗など身体に現れる痛みの徴候を捉える,顔貌、体動、呼吸、発汗、患部をかばう様子,本人が痛みを明言していなくても、身体反応から苦痛の存在を考える,痛みは言葉だけでなく身体にも表れる,この患者の身体反応のうち、痛みを示している可能性があるものは何ですか,術後、炎症、骨折、呼吸器疾患,まず観察し、その後に確認の声かけを行う,術後;急性痛;呼吸苦;動作時痛
TK-02,身体・病態から痛みを察知する,検査データの読み取り,検査データから察知する,炎症反応、画像所見、治療経過などから痛みの可能性を考える,CRP、WBC、画像検査、処置後経過,検査値そのものではなく、患者の苦痛と結びつけて解釈する,データは身体で起きていることの手がかりになる,この検査データは、どのような痛みや苦痛の可能性を示しますか,炎症、感染、術後侵襲、がん,データだけで決めつけず、症状や訴えと統合する,検査値;炎症;術後;がん
TK-03,身体・病態から痛みを察知する,病態推論,病気の状況から推理する,疾患の進行や治療内容から、起こりやすい痛みを推測する,診断名、治療内容、侵襲部位、経過日数,病態生理と患者の反応を結びつける,痛みには病態に沿った起こりやすさがある,この病気や治療経過から、どのような痛みが予測されますか,骨折、術後、悪性腫瘍、慢性疾患,病態を踏まえて予測的に関わる,病態;予測;術後;がん;慢性痛
TK-04,“いつもと違う”を捉えて痛みを察知する,変化の比較,いつもと違うサインを見逃さない,普段の様子と比べて、微細な変化を捉える,反応速度、会話量、食事量、活動性,絶対値ではなく、その人の基準からの変化をみる,異常は変化として現れやすい,この患者の“いつもと違う”点はどこですか,高齢者、慢性疾患、認知症,日頃の様子を知ることが観察の土台になる,高齢者;慢性痛;比較;変化
TK-05,“いつもと違う”を捉えて痛みを察知する,微細な表情の変化,『あれ？いつもと違うな』という表情や様子に気づく,表情の硬さ、視線、返答の仕方などの微妙な違いを捉える,顔つき、視線、応答、落ち着きのなさ,言語化されていない苦痛の可能性を考える,微細な違和感は重要な臨床サインになる,あなたが“いつもと違う”と感じた根拠は何ですか,高齢者、終末期、慢性痛,違和感を軽視せず、理由を言語化して確認する,表情;違和感;終末期;慢性痛
TK-06,“いつもと違う”を捉えて痛みを察知する,動作観察,動きのどこかに隠れているサインを見つけ出す,立つ、座る、寝返る、深呼吸するなどの動きに現れる苦痛をみる,体位変換、歩行、起き上がり、深呼吸,動作時痛やかばう動きから痛みを推測する,動作は痛みを可視化する,この動作のどこに負担や痛みのサインがありますか,整形外科、術後、呼吸器疾患,安全を確保しつつ、動作時の痛みを確認する,動作時痛;かばう;整形;術後
TK-07,“いつもと違う”を捉えて痛みを察知する,休息時の違和感,休んでいる姿勢ににじみ出る『違和感』をキャッチする,安静時の姿勢保持や身じろぎの少なさ・多さから苦痛を考える,体位、身じろぎ、患部保護、呼吸の浅さ,安静に見えても無理に耐えている可能性を考える,休息姿勢にも痛みはにじみ出る,休んでいる姿勢から、どんな苦痛が推測できますか,術後、慢性痛、腹部疾患,楽な姿勢の工夫や安楽の確認につなげる,姿勢;安楽;安静;違和感
TK-08,表出された／表出されにくい痛みに寄り添い受け止める,非言語的苦痛への接近,沈黙や表情の奥にある痛みに、そっと寄り添う,言葉にされない苦痛を、沈黙や反応の弱さから受け止める,沈黙、無表情、ため息、反応低下,言えない・言わない背景を考える,痛みは語られないこともある,言葉になっていない苦痛を、あなたはどう受け止めますか,高齢者、終末期、コミュニケーション困難,押しつけず、寄り添う姿勢で関わる,沈黙;非言語;終末期;高齢者
TK-09,表出された／表出されにくい痛みに寄り添い受け止める,語られた痛みの受容,話してくれる『痛み』をちゃんと受け止める,患者が話してくれた痛みを否定せず、丁寧に受け取る,訴えの内容、痛みの性質、経過,まず信じて受け止めることが評価の出発点,受け止めること自体がアセスメントの一部,患者の訴えを、どのように受け止めて次の支援につなげますか,すべての領域,痛みの性質・強さ・きっかけを丁寧に聴く,訴え;受容;疼痛評価
TK-10,表出された／表出されにくい痛みに寄り添い受け止める,主観の尊重,相手の『痛みの感じ方』を一番に尊重する,数値や見た目だけでなく、本人がどう感じているかを大切にする,本人の語り、NRS、表現、文化背景,客観情報と主観を統合して判断する,痛みは個別性の高い主観的体験である,客観情報と本人の訴えがずれるとき、あなたはどう考えますか,慢性痛、がん、緩和ケア,本人の感じ方を中心に評価と支援を組み立てる,主観;慢性痛;緩和ケア;尊重
